iteration,variable,value,sample_size,feature_size,variable_name
0,pv_1,1.0000000189768967,32,64,X_1
1,pv_1,1.0000000198128212,32,64,X_1
2,pv_1,0.9999999381092713,32,64,X_1
3,pv_1,1.000000005080406,32,64,X_1
4,pv_1,0.9999994903841818,32,64,X_1
5,pv_1,0.9999999336676436,32,64,X_1
6,pv_1,0.9999999623827337,32,64,X_1
7,pv_1,0.9999999436751742,32,64,X_1
8,pv_1,1.0000000093212484,32,64,X_1
9,pv_1,0.9999999900722826,32,64,X_1
10,pv_1,0.9999999826772262,32,64,X_1
11,pv_1,0.9999999829422789,32,64,X_1
12,pv_1,0.9999997290931167,32,64,X_1
13,pv_1,0.9999999502963017,32,64,X_1
14,pv_1,0.999999913513955,32,64,X_1
15,pv_1,0.9999999825684935,32,64,X_1
16,pv_1,0.9999999352051706,32,64,X_1
17,pv_1,0.9999999669766861,32,64,X_1
18,pv_1,1.0000000149952337,32,64,X_1
19,pv_1,1.0000000150370536,32,64,X_1
20,pv_1,1.0000000129858773,32,64,X_1
21,pv_1,1.0000000042907347,32,64,X_1
22,pv_1,0.9999999966948647,32,64,X_1
23,pv_1,0.9999999619271663,32,64,X_1
24,pv_1,0.9999999354130382,32,64,X_1
25,pv_1,1.000000008594774,32,64,X_1
26,pv_1,0.9999999914985946,32,64,X_1
27,pv_1,0.9999999910567957,32,64,X_1
28,pv_1,1.00000004102656,32,64,X_1
29,pv_1,0.9999999861231487,32,64,X_1
0,pv_2,1.000000002317698,32,64,X_1
1,pv_2,0.9999999989447865,32,64,X_1
2,pv_2,0.9999999710314147,32,64,X_1
3,pv_2,0.9999999568833948,32,64,X_1
4,pv_2,0.9999995636493437,32,64,X_1
5,pv_2,0.999996907423731,32,64,X_1
6,pv_2,0.9999999547369327,32,64,X_1
7,pv_2,0.9999999235132833,32,64,X_1
8,pv_2,1.00000000036159,32,64,X_1
9,pv_2,0.9999999185393947,32,64,X_1
10,pv_2,0.9999999491669433,32,64,X_1
11,pv_2,0.999999956896739,32,64,X_1
12,pv_2,0.9999992740364857,32,64,X_1
13,pv_2,0.9999999702079517,32,64,X_1
14,pv_2,0.9999999396910753,32,64,X_1
15,pv_2,0.9999999679867033,32,64,X_1
16,pv_2,0.9999999462190687,32,64,X_1
17,pv_2,0.9999995910546549,32,64,X_1
18,pv_2,0.9999999931350593,32,64,X_1
19,pv_2,1.0000000080465907,32,64,X_1
20,pv_2,0.9999999977445153,32,64,X_1
21,pv_2,0.9999999845843395,32,64,X_1
22,pv_2,0.9999999691445034,32,64,X_1
23,pv_2,0.9999999432494089,32,64,X_1
24,pv_2,0.9999999912909434,32,64,X_1
25,pv_2,0.9999999701560506,32,64,X_1
26,pv_2,0.9999999835147367,32,64,X_1
27,pv_2,0.9999999119158868,32,64,X_1
28,pv_2,0.9999999671280457,32,64,X_1
29,pv_2,0.9999999873933272,32,64,X_1
0,pv_3,0.9999999633021338,32,64,X_1
1,pv_3,0.9999999239565792,32,64,X_1
2,pv_3,0.9999999653497186,32,64,X_1
3,pv_3,1.0000000013012096,32,64,X_1
4,pv_3,0.9999999948721131,32,64,X_1
5,pv_3,0.9999959959793132,32,64,X_1
6,pv_3,1.0000000223599346,32,64,X_1
7,pv_3,0.999999960583282,32,64,X_1
8,pv_3,1.0000000457137592,32,64,X_1
9,pv_3,0.9999999167779888,32,64,X_1
10,pv_3,0.9999999950870448,32,64,X_1
11,pv_3,1.0000000362689343,32,64,X_1
12,pv_3,0.999999837799796,32,64,X_1
13,pv_3,0.9999999511934365,32,64,X_1
14,pv_3,0.9981014194517994,32,64,X_1
15,pv_3,0.9999999358848962,32,64,X_1
16,pv_3,0.999999878531256,32,64,X_1
17,pv_3,0.9999997654425185,32,64,X_1
18,pv_3,0.9999999770326498,32,64,X_1
19,pv_3,0.9999999794973772,32,64,X_1
20,pv_3,0.9999999789443743,32,64,X_1
21,pv_3,0.9999999335762143,32,64,X_1
22,pv_3,1.0000000133450344,32,64,X_1
23,pv_3,0.9999999469710988,32,64,X_1
24,pv_3,0.9999999409319585,32,64,X_1
25,pv_3,1.0000000171363415,32,64,X_1
26,pv_3,0.9999999512621385,32,64,X_1
27,pv_3,0.9999999707931716,32,64,X_1
28,pv_3,0.999999985344192,32,64,X_1
29,pv_3,0.9999999289956236,32,64,X_1
0,pv_4,0.9999998372805569,32,64,X_1
1,pv_4,0.9999999465906575,32,64,X_1
2,pv_4,0.9999999883436257,32,64,X_1
3,pv_4,1.000000057334784,32,64,X_1
4,pv_4,0.9999999973579488,32,64,X_1
5,pv_4,0.9999999980780934,32,64,X_1
6,pv_4,0.9999999769869419,32,64,X_1
7,pv_4,0.9999999588381608,32,64,X_1
8,pv_4,0.9999999855669163,32,64,X_1
9,pv_4,0.9999999734179624,32,64,X_1
10,pv_4,1.0000000119581294,32,64,X_1
11,pv_4,0.9999999947137062,32,64,X_1
12,pv_4,0.9999999871500928,32,64,X_1
13,pv_4,0.9999999188235628,32,64,X_1
14,pv_4,1.0000000078377187,32,64,X_1
15,pv_4,1.000000002324606,32,64,X_1
16,pv_4,0.9999999005641479,32,64,X_1
17,pv_4,1.0000000024665319,32,64,X_1
18,pv_4,0.9999999812818035,32,64,X_1
19,pv_4,0.9999999573366015,32,64,X_1
20,pv_4,1.0000000022717321,32,64,X_1
21,pv_4,0.9999998747222782,32,64,X_1
22,pv_4,1.0000000040222223,32,64,X_1
23,pv_4,0.9999999098112118,32,64,X_1
24,pv_4,1.000000005018852,32,64,X_1
25,pv_4,0.9999999520724437,32,64,X_1
26,pv_4,0.9999999317303138,32,64,X_1
27,pv_4,0.9200339951160544,32,64,X_1
28,pv_4,0.9999999755780569,32,64,X_1
29,pv_4,0.9125633798444502,32,64,X_1
0,pv_5,0.9999998482202891,32,64,X_1
1,pv_5,0.9999999487455161,32,64,X_1
2,pv_5,0.9999999942135958,32,64,X_1
3,pv_5,0.9999996179822449,32,64,X_1
4,pv_5,0.9999999970498111,32,64,X_1
5,pv_5,0.9999998932427009,32,64,X_1
6,pv_5,0.9999999830147989,32,64,X_1
7,pv_5,0.9999999797940675,32,64,X_1
8,pv_5,0.9999999848832666,32,64,X_1
9,pv_5,0.9999999834589122,32,64,X_1
10,pv_5,1.0000000070119763,32,64,X_1
11,pv_5,0.9999999651210046,32,64,X_1
12,pv_5,1.0000000066473524,32,64,X_1
13,pv_5,0.9999999580006624,32,64,X_1
14,pv_5,0.9999998691736922,32,64,X_1
15,pv_5,1.0000000272109895,32,64,X_1
16,pv_5,0.9999999721731281,32,64,X_1
17,pv_5,1.000000012712957,32,64,X_1
18,pv_5,0.9999999709486465,32,64,X_1
19,pv_5,1.0000000122451094,32,64,X_1
20,pv_5,0.9999999949584295,32,64,X_1
21,pv_5,0.9999999889670425,32,64,X_1
22,pv_5,0.9999999905033663,32,64,X_1
23,pv_5,1.0000000016991657,32,64,X_1
24,pv_5,1.0000000122418713,32,64,X_1
25,pv_5,0.9999999384395893,32,64,X_1
26,pv_5,0.9999999201682873,32,64,X_1
27,pv_5,0.9999999373568081,32,64,X_1
28,pv_5,0.9999999675246172,32,64,X_1
29,pv_5,1.0000000152068635,32,64,X_1
0,pv_6,0.9999999025474434,32,64,X_1
1,pv_6,0.9999999699403899,32,64,X_1
2,pv_6,1.0000000027706328,32,64,X_1
3,pv_6,0.9999996304949962,32,64,X_1
4,pv_6,0.9999999941815918,32,64,X_1
5,pv_6,0.9999998791588326,32,64,X_1
6,pv_6,1.0000000069518074,32,64,X_1
7,pv_6,0.9999999714225605,32,64,X_1
8,pv_6,0.9999999570030921,32,64,X_1
9,pv_6,0.9999999493721694,32,64,X_1
10,pv_6,0.9999999612382698,32,64,X_1
11,pv_6,0.9999997617621308,32,64,X_1
12,pv_6,0.9999999795363563,32,64,X_1
13,pv_6,1.0000000157101645,32,64,X_1
14,pv_6,0.9999998402595195,32,64,X_1
15,pv_6,0.9999999483173735,32,64,X_1
16,pv_6,0.9999998068924939,32,64,X_1
17,pv_6,1.0000000127056337,32,64,X_1
18,pv_6,0.999999985470357,32,64,X_1
