iteration,variable,value,sample_size,feature_size,variable_name
0,pv_1,0.9999999441241755,32,64,X_2
1,pv_1,1.0000000218264837,32,64,X_2
2,pv_1,1.0000000135396028,32,64,X_2
3,pv_1,1.0000000208934714,32,64,X_2
4,pv_1,0.9999999819130546,32,64,X_2
5,pv_1,1.0000000275868492,32,64,X_2
6,pv_1,0.9999999891728655,32,64,X_2
7,pv_1,0.9999999843361469,32,64,X_2
8,pv_1,1.0000000000782772,32,64,X_2
9,pv_1,0.9836908438204546,32,64,X_2
10,pv_1,1.0000000023527307,32,64,X_2
11,pv_1,1.0000000114445597,32,64,X_2
12,pv_1,1.0000000026644613,32,64,X_2
13,pv_1,1.0000000318245712,32,64,X_2
14,pv_1,0.9999999829096127,32,64,X_2
15,pv_1,0.9999999802273688,32,64,X_2
16,pv_1,1.0000000186105322,32,64,X_2
17,pv_1,0.9999999817319463,32,64,X_2
18,pv_1,1.0000000221965974,32,64,X_2
19,pv_1,0.9999999783939056,32,64,X_2
20,pv_1,0.9999999952588445,32,64,X_2
21,pv_1,0.9999999905527843,32,64,X_2
22,pv_1,0.9999999587727358,32,64,X_2
23,pv_1,1.0000000364023078,32,64,X_2
24,pv_1,1.0000000061589065,32,64,X_2
25,pv_1,0.9999999545188609,32,64,X_2
26,pv_1,1.000000020496992,32,64,X_2
27,pv_1,1.000000038455062,32,64,X_2
28,pv_1,0.9999999779037901,32,64,X_2
29,pv_1,0.9999999680001161,32,64,X_2
0,pv_2,0.9999999480520841,32,64,X_2
1,pv_2,0.999999899573207,32,64,X_2
2,pv_2,0.9999999739645542,32,64,X_2
3,pv_2,1.0000000058290635,32,64,X_2
4,pv_2,0.9999999750064533,32,64,X_2
5,pv_2,0.9999999939307861,32,64,X_2
6,pv_2,0.9999999438914419,32,64,X_2
7,pv_2,1.0000000235006337,32,64,X_2
8,pv_2,1.0000000331089256,32,64,X_2
9,pv_2,1.000000000496061,32,64,X_2
10,pv_2,1.0000000064219041,32,64,X_2
11,pv_2,0.9999999848942613,32,64,X_2
12,pv_2,1.0000000308848835,32,64,X_2
13,pv_2,0.9999999684492642,32,64,X_2
14,pv_2,1.000000031472531,32,64,X_2
15,pv_2,1.0000000235935471,32,64,X_2
16,pv_2,0.9999998501002543,32,64,X_2
17,pv_2,0.9999999944541041,32,64,X_2
18,pv_2,0.9999999751450489,32,64,X_2
19,pv_2,0.999999975369065,32,64,X_2
20,pv_2,1.0000000083470193,32,64,X_2
21,pv_2,1.0000000163361906,32,64,X_2
22,pv_2,0.9999999077164958,32,64,X_2
23,pv_2,0.9999999961648774,32,64,X_2
24,pv_2,1.000000004093582,32,64,X_2
25,pv_2,0.9999997308230993,32,64,X_2
26,pv_2,1.000000027675147,32,64,X_2
27,pv_2,0.9557710954565497,32,64,X_2
28,pv_2,1.000000008782429,32,64,X_2
29,pv_2,0.9999999989869849,32,64,X_2
0,pv_3,0.999999989809108,32,64,X_2
1,pv_3,0.9999998968121514,32,64,X_2
2,pv_3,0.9999999760723703,32,64,X_2
3,pv_3,0.9999999682594121,32,64,X_2
4,pv_3,0.9999999378397687,32,64,X_2
5,pv_3,0.9999999370824011,32,64,X_2
6,pv_3,0.9999999158782352,32,64,X_2
7,pv_3,0.9999999673519393,32,64,X_2
8,pv_3,0.9999999925810242,32,64,X_2
9,pv_3,1.0000000006049852,32,64,X_2
10,pv_3,0.9999999637785413,32,64,X_2
11,pv_3,0.9999999799494815,32,64,X_2
12,pv_3,0.9999999975173584,32,64,X_2
13,pv_3,0.9999999801112442,32,64,X_2
14,pv_3,1.0000000149639494,32,64,X_2
15,pv_3,1.0000000164747893,32,64,X_2
16,pv_3,0.9999998314487191,32,64,X_2
17,pv_3,0.9999999609523705,32,64,X_2
18,pv_3,0.999999949006128,32,64,X_2
19,pv_3,0.9999999949043324,32,64,X_2
20,pv_3,0.9999999497110288,32,64,X_2
21,pv_3,1.0000000084527527,32,64,X_2
22,pv_3,0.9999999199902766,32,64,X_2
23,pv_3,0.9999999650589184,32,64,X_2
24,pv_3,0.9999999733324547,32,64,X_2
25,pv_3,0.9999997944876653,32,64,X_2
26,pv_3,0.9999999034706204,32,64,X_2
27,pv_3,0.9999999991277501,32,64,X_2
28,pv_3,0.9999999862319792,32,64,X_2
29,pv_3,0.9999999520640229,32,64,X_2
0,pv_4,0.999999988084127,32,64,X_2
1,pv_4,0.9999999986675433,32,64,X_2
2,pv_4,0.999999958430226,32,64,X_2
3,pv_4,0.9999999689314377,32,64,X_2
4,pv_4,0.9999999966593579,32,64,X_2
5,pv_4,0.9999999612181427,32,64,X_2
6,pv_4,0.9999999101683186,32,64,X_2
7,pv_4,0.9999999814963108,32,64,X_2
8,pv_4,0.9999999625850365,32,64,X_2
9,pv_4,1.0000000090076748,32,64,X_2
10,pv_4,0.9999999619236496,32,64,X_2
11,pv_4,1.0000000033606722,32,64,X_2
12,pv_4,1.0000000005770773,32,64,X_2
13,pv_4,0.9999999673179645,32,64,X_2
14,pv_4,0.9999999862361001,32,64,X_2
15,pv_4,0.9999999665446242,32,64,X_2
16,pv_4,1.0000000060167662,32,64,X_2
17,pv_4,0.9999999106882367,32,64,X_2
18,pv_4,1.000000006703578,32,64,X_2
19,pv_4,0.9999999872196377,32,64,X_2
20,pv_4,0.999999947621606,32,64,X_2
21,pv_4,0.9999993870581068,32,64,X_2
22,pv_4,0.9999999647098279,32,64,X_2
23,pv_4,0.9999999844565539,32,64,X_2
24,pv_4,1.0000000135047475,32,64,X_2
25,pv_4,1.00000001286777,32,64,X_2
26,pv_4,0.9625403103152906,32,64,X_2
27,pv_4,0.9999999893220469,32,64,X_2
28,pv_4,1.0000000019662147,32,64,X_2
29,pv_4,1.000000010638766,32,64,X_2
0,pv_5,0.9999999832046774,32,64,X_2
1,pv_5,1.0000000020717923,32,64,X_2
2,pv_5,0.9999999616125232,32,64,X_2
3,pv_5,0.9999999815057271,32,64,X_2
4,pv_5,0.9999999839431623,32,64,X_2
5,pv_5,0.9999999917340392,32,64,X_2
6,pv_5,0.9999999682773343,32,64,X_2
7,pv_5,1.000000033928693,32,64,X_2
8,pv_5,0.9999999347835212,32,64,X_2
9,pv_5,0.9999999717894742,32,64,X_2
10,pv_5,0.9999999943568814,32,64,X_2
11,pv_5,0.9999999895448185,32,64,X_2
12,pv_5,1.0000000118882293,32,64,X_2
13,pv_5,0.9999998730529063,32,64,X_2
14,pv_5,0.9999999651750484,32,64,X_2
15,pv_5,1.000000018875959,32,64,X_2
16,pv_5,0.9999999967482363,32,64,X_2
17,pv_5,0.999999940707635,32,64,X_2
18,pv_5,0.9999999797660424,32,64,X_2
19,pv_5,1.0000000092583974,32,64,X_2
20,pv_5,0.999999967029869,32,64,X_2
21,pv_5,0.9999996428095788,32,64,X_2
22,pv_5,0.9999999984451085,32,64,X_2
23,pv_5,1.0000000234357829,32,64,X_2
24,pv_5,0.9999999948975438,32,64,X_2
25,pv_5,0.9999999682669659,32,64,X_2
26,pv_5,0.9999996409772554,32,64,X_2
27,pv_5,0.9999999813365408,32,64,X_2
28,pv_5,0.9999999279131824,32,64,X_2
29,pv_5,0.999999968576738,32,64,X_2
